feature,auc,fuerza_auc,direction,p_top,p_bottom,lift_top_vs_bottom,n_top,n_bottom
humedad_relativa,0.4236111111111111,0.5763888888888888,↓,0.25,0.5,0.5555555564444445,8,8
precipitacion_total_mensual,0.4305555555555556,0.5694444444444444,↓,0.375,0.625,0.6363636369586777,8,8
num_dias_temp_menor0,0.4409722222222222,0.5590277777777778,↓,0.25,0.375,0.7264957272110455,8,16
temp_media_mes,0.5243055555555556,0.5243055555555556,↓,0.375,0.375,1.0,8,8
num_dias_temp_mayor30,0.5173611111111112,0.5173611111111112,↑,0.375,0.3181818181818182,1.1925925920019753,8,22
