indicativo,p_max,np_100,np_001,np_300,p_mes,np_010,fecha,tm_min,ta_max,ts_min,nt_30,ta_min,nt_00,ti_max,tm_mes,tm_max,year,e,hr,n_cub,n_des,n_nub
2166Y,14.8(09),2,11,0,45.6,8,2021-2,3.4,18.0(15),9.4,0,-1.7(28),7,7.4,8.4,13.3,2021,83,74,,,
2166Y,4.6(07),0,3,0,5.2,1,2021-3,1.3,24.1(31),8.1,0,-4.2(10),7,7.5,8.2,15.1,2021,66,60,,,
2166Y,11.8(10),1,13,0,55.4,10,2021-4,4.3,22.3(01),10.7,0,-2.4(17),7,10.8,10.2,16.0,2021,87,67,,,
2166Y,5.4(30),0,10,0,21.8,5,2021-5,7.2,30.0(31),13.7,1,2.1(04),0,12.8,14.0,20.7,2021,97,56,,,
2166Y,17.4(15),2,10,0,52.4,6,2021-6,10.9,31.0(13),15.4,5,6.7(24),0,18.7,18.3,25.7,2021,119,54,,,
2166Y,2.6(06),0,2,0,3.4,1,2021-7,12.0,36.2(11),17.7,17,5.9(13),0,20.0,20.6,29.0,2021,107,41,,,
2166Y,9.8(31),0,1,0,9.8,1,2021-8,12.1,37.9(13),17.5,17,6.9(18),0,23.0,21.4,30.6,2021,104,41,,,
2166Y,11.2(25),1,8,0,29.6,6,2021-9,11.3,32.7(06),16.4,3,4.9(19),0,19.6,17.6,23.9,2021,126,62,,,
2166Y,11.6(20),1,10,0,46.0,10,2022-10,8.7,29.4(03),15.4,0,4.3(01),0,14.5,15.9,23.1,2022,107,60,11,6,14
2166Y,9.2(08),0,17,0,54.8,10,2022-11,4.2,19.5(12),9.8,0,-1.7(27),3,8.3,9.2,14.2,2022,98,80,14,3,13
2166Y,21.8(13),3,17,0,68.8,10,2022-12,3.9,17.3(31),10.1,0,-5.9(04),5,3.8,7.9,11.7,2022,94,85,18,2,11
2166Y,21.8(13/dic),6,87,0,311.0,60,2022-13,6.6,39.0(16/jul),22.4,60,-8.5(29/ene),62,3.4,13.5,20.4,2022,94,60,121,101,140
2166Y,6.8(05),0,2,0,10.4,2,2022-1,-4.1,17.2(30),2.3,0,-8.5(29),25,3.4,3.4,10.9,2022,57,71,6,17,8
2166Y,2.8(26),0,2,0,5.4,2,2022-2,-1.5,18.3(23),4.4,0,-8.1(06),20,9.0,6.1,13.6,2022,64,67,7,10,11
2166Y,11.6(29),1,15,0,53.6,10,2022-3,4.1,17.5(27),10.1,0,-2.9(05),3,7.8,8.3,12.5,2022,80,71,25,0,6
2166Y,8.2(27),0,7,0,39.2,6,2022-4,2.8,22.2(16),8.2,0,-5.4(03),6,6.3,9.2,15.7,2022,79,63,12,5,10
2166Y,1.8(12),0,3,0,3.4,2,2022-5,8.5,34.0(21),14.7,4,2.0(06),0,13.6,16.4,24.3,2022,101,50,8,9,14
2166Y,1.6(22),0,4,0,4.0,2,2022-6,12.4,37.4(17),21.7,9,4.7(28),0,21.6,20.5,28.6,2022,107,41,7,5,18
2166Y,0.0(--),0,0,0,0.0,0,2022-7,14.5,39.0(16),20.3,26,7.7(01),0,25.4,24.0,33.5,2022,108,34,0,21,10
2166Y,11.8(10),1,6,0,20.0,3,2022-8,15.2,37.0(02),22.4,19,8.3(19),0,24.2,23.3,31.3,2022,121,41,4,14,13
2166Y,2.0(15),0,4,0,5.4,3,2022-9,10.1,34.2(11),18.6,2,2.6(30),0,16.5,17.6,25.0,2022,106,52,9,9,12
2166Y,25.6(29),3,14,0,99.0,12,2023-10,8.8,33.1(02),13.6,7,4.0(11),0,12.5,15.5,22.2,2023,112,66,10,8,13
2166Y,36.4(30),1,14,1,63.8,10,2023-11,6.1,19.1(19),12.6,0,-1.5(26),3,10.1,10.1,14.2,2023,104,83,9,2,19
2166Y,12.8(07),1,8,0,18.4,3,2023-12,0.4,14.8(11),9.8,0,-4.8(19),20,-0.6,4.3,8.1,2023,77,89,13,2,16
2166Y,,,,,,,2023-13,,,,,,,,,,2023,,,102,100,163
2166Y,12.8(07),1,9,0,24.0,8,2023-1,-0.4,17.6(01),9.2,0,-6.3(31),20,1.7,3.9,8.3,2023,68,80,9,6,16
2166Y,5.6(24),0,3,0,7.6,2,2023-2,-2.7,19.5(19),4.1,0,-7.9(11),23,3.7,4.5,11.6,2023,53,63,5,14,9
2166Y,3.8(09),0,6,0,8.8,3,2023-3,3.4,26.0(29),10.5,0,-6.1(05),8,5.1,10.0,16.5,2023,76,60,11,4,16
2166Y,5.4(21),0,2,0,8.0,2,2023-4,4.1,29.5(28),13.1,0,-5.4(05),8,14.1,12.6,21.1,2023,69,46,8,9,13
2166Y,22.2(25),1,7,0,27.0,4,2023-5,7.3,28.2(03),11.9,0,1.4(16),0,13.8,14.2,21.0,2023,90,51,9,3,19
2166Y,,,,,,,2023-6,,,,,,,,,,2023,,,11,7,12
2166Y,,,,,,,2023-7,,,,,,,,,,2023,,,4,17,10
2166Y,0.0(--),0,0,0,0.0,0,2023-8,13.8,39.3(09),19.9,22,6.9(04),0,22.3,22.9,31.9,2023,113,39,2,19,10
2166Y,48.6(03),2,13,1,95.6,9,2023-9,11.7,31.5(30),17.1,2,4.7(24),0,17.8,18.6,25.4,2023,135,63,11,9,10
2166Y,23.2(29),3,15,0,85.4,12,2024-10,9.3,25.8(01),15.9,0,3.7(11),0,8.9,14.3,19.3,2024,127,76,13,4,14
2166Y,8.2(25),0,6,0,11.4,2,2024-11,4.4,21.1(06),11.7,0,-1.7(28),2,9.2,10.4,16.5,2024,100,78,7,7,16
2166Y,1.6(01),0,9,0,5.6,2,2024-12,-0.5,14.8(02),8.6,0,-5.3(15),22,0.2,4.1,8.7,2024,74,86,9,4,18
2166Y,,,,,,,2024-13,6.7,38.2(10/ago),22.5,50,-5.3(20/ene),48,0.2,13.1,19.5,2024,102,66,100,91,172
2166Y,8.8(16),0,11,0,59.8,11,2024-1,1.8,18.2(28),10.8,0,-5.3(20),10,3.6,6.2,10.6,2024,86,87,13,5,13
2166Y,9.2(15),0,8,0,25.6,6,2024-2,2.0,17.9(14),7.4,0,-2.1(20),8,7.9,7.6,13.2,2024,84,77,10,5,14
2166Y,15.6(08),2,15,0,65.0,11,2024-3,3.4,26.0(22),11.9,0,-2.3(06),4,7.2,9.2,14.9,2024,83,70,9,1,21
2166Y,4.2(27),0,8,0,17.4,6,2024-4,3.8,27.0(14),12.4,0,-2.1(23),2,10.9,10.9,17.9,2024,84,60,6,10,12
2166Y,10.0(13),1,11,0,46.2,9,2024-5,6.6,28.9(29),11.8,0,2.7(20),0,11.7,13.3,20.0,2024,98,60,15,4,12
2166Y,,,,,,,2024-6,11.3,33.0(27),17.8,7,3.9(13),0,18.4,18.3,25.4,2024,123,54,10,5,15
2166Y,8.2(05),0,1,0,8.2,1,2024-7,14.5,37.3(28),19.7,22,8.2(22),0,24.5,23.2,31.9,2024,123,40,1,17,13
2166Y,17.2(31),2,5,0,31.0,3,2024-8,14.6,38.2(10),22.5,21,8.9(15),0,26.6,23.5,32.3,2024,129,44,2,16,12
2166Y,17.4(21),1,4,0,26.4,2,2024-9,9.4,28.2(02),15.9,0,1.8(28),0,17.6,16.4,23.4,2024,112,59,5,13,12
