feature,auc,fuerza_auc,direction,p_top,p_bottom,lift_top_vs_bottom,n_top,n_bottom
num_dias_temp_mayor30,0.4350334748862549,0.5649665251137451,↓,0.04097476816907483,0.04153269024651661,0.9882189281813897,4637,14928
humedad_relativa,0.5276295976029944,0.5276295976029944,↑,0.039033045021068975,0.02645146828065456,1.473599203774958,4509,4461
precipitacion_total_mensual,0.4829532659265331,0.5170467340734669,↓,0.032665964172813484,0.039375,0.8300899453409933,4745,4800
temp_media_mes,0.4833191703647751,0.5166808296352249,↓,0.043028896857203125,0.04681847201532241,0.9192233075209639,4741,4699
num_dias_temp_menor0,0.4858667775139653,0.5141332224860347,↑,0.05073819920981493,0.040165203923593185,1.2640690195047835,4809,9685
